mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"random",0.144000,0.088000,0.160000,0.060000,7,0,1,15.982594,70,30,0,80.384251,15.982594
"habit",0.180000,0,0.200000,0.060000,4,1,1,12.602396,80,20,10,55.060127,16.102396
"random",0.108000,0,0.120000,0.060000,4,0,1,12.604131,90,20,10,58.118486,16.104131
"random",0.180000,0.088000,0.120000,0.060000,4,0,1,12.709247,80,40,10,54.905781,16.209247
"habit",0.144000,0.088000,0.160000,0.060000,4,1,1,12.744817,90,20,10,56.017168,16.244817
"habit",0.144000,0.044000,0.160000,0.060000,4,0.800000,1,12.854200,80,30,10,55.906947,16.354200
"random",0.180000,0.220000,0.080000,0.060000,7,0,1,12.884846,40,30,10,68.312392,16.384846
"habit",0.144000,0.220000,0.080000,0.060000,7,0.200000,1,13.052504,50,10,10,74.779253,16.552504
"habit",0.108000,0.132000,0.160000,0.060000,4,1,1,13.098571,90,50,10,58.597236,16.598571
"habit",0.108000,0.176000,0.040000,0.060000,9,1,1,16.659836,90,30,0,153.197281,16.659836
"habit",0.072000,0.220000,0.040000,0.060000,7,0.800000,1,13.275498,50,20,10,119.810192,16.775498
"random",0.180000,0.176000,0.080000,0.060000,7,0,1,13.332047,70,40,10,69.801760,16.832047
"random",0.180000,0.176000,0.040000,0.060000,7,0,1,13.338002,70,10,10,68.637093,16.838002
"random",0.180000,0.220000,0.040000,0.060000,9,0,1,13.412209,50,30,10,75.704547,16.912209
"random",0.036000,0,0.200000,0.060000,4,0,1,13.516490,80,40,10,83.220417,17.016490
"habit",0.180000,0.044000,0,0.060000,2,0,1,10.023388,90,10,20,50.037107,17.023388
"random",0.144000,0.220000,0,0.060000,2,0,1,10.023975,80,40,20,50.047382,17.023975
"habit",0.108000,0.044000,0,0.060000,2,0.800000,1,10.025514,80,20,20,50.058391,17.025514
"random",0.072000,0.044000,0,0.060000,2,0,1,10.026440,90,60,20,50.087052,17.026440
"random",0.144000,0.132000,0,0.060000,2,0,1,10.027554,90,50,20,50.044763,17.027554
"habit",0.180000,0.088000,0,0.060000,2,0.200000,1,10.028331,90,10,20,50.035572,17.028331
"habit",0.144000,0.088000,0,0.060000,2,0,1,10.028624,90,0,20,50.047355,17.028624
"random",0.180000,0.176000,0,0.060000,2,0,1,10.028869,80,10,20,50.036029,17.028869
"habit",0.108000,0.176000,0,0.060000,2,0.200000,1,10.029095,80,60,20,50.058208,17.029095
"random",0.180000,0.088000,0,0.060000,2,0,1,10.030354,80,40,20,50.038703,17.030354
"habit",0.072000,0.220000,0,0.060000,2,0.200000,1,10.030810,90,30,20,50.085823,17.030810
"random",0.144000,0.088000,0,0.060000,2,0,1,10.031528,80,40,20,50.045093,17.031528
"habit",0.144000,0.176000,0,0.060000,2,0.400000,1,10.032550,90,30,20,50.045589,17.032550
"random",0.144000,0.176000,0,0.060000,2,0,1,10.033325,80,10,20,50.045181,17.033325
"random",0.072000,0.088000,0,0.060000,2,0,1,10.033638,90,40,20,50.088781,17.033638
"habit",0.144000,0.132000,0,0.060000,4,0.400000,1,10.079183,70,20,20,50.263742,17.079183
"habit",0.180000,0.176000,0,0.060000,4,0.800000,1,10.081876,60,10,20,50.209825,17.081876
"random",0.108000,0.176000,0,0.060000,4,0,1,10.087756,60,30,20,50.365557,17.087756
"habit",0.144000,0.176000,0,0.060000,4,0.600000,1,10.092703,70,10,20,50.276094,17.092703
"habit",0.144000,0.220000,0,0.060000,4,0.800000,1,10.096718,70,30,20,50.261589,17.096718
"random",0.108000,0.220000,0,0.060000,4,0,1,10.105173,80,10,20,50.351990,17.105173
"habit",0.108000,0.176000,0,0.060000,4,0.400000,1,10.109039,70,50,20,50.352209,17.109039
"random",0.144000,0.220000,0,0.060000,4,0,1,10.109900,60,30,20,50.271749,17.109900
"random",0.108000,0.220000,0.200000,0.060000,9,0,1,17.109969,100,30,0,195.409823,17.109969
"random",0.180000,0.176000,0,0.060000,4,0,1,10.110827,80,10,20,50.231402,17.110827
"habit",0.072000,0.220000,0,0.060000,4,0.400000,1,10.114370,90,30,20,50.512114,17.114370
"random",0.144000,0.176000,0,0.060000,4,0,1,10.119975,80,50,20,50.259914,17.119975
"random",0.072000,0.176000,0,0.060000,4,0,1,10.139195,90,30,20,50.546374,17.139195
"habit",0.108000,0.132000,0,0.060000,4,0.200000,1,10.146720,100,30,20,50.338213,17.146720
"habit",0.072000,0.132000,0,0.060000,4,0,1,10.152672,90,40,20,50.533850,17.152672
"habit",0.180000,0.220000,0.040000,0.060000,7,0.200000,1,13.666895,40,10,10,67.177193,17.166895
"habit",0.180000,0.088000,0,0.060000,7,0.600000,1,10.195949,60,10,20,50.741729,17.195949
"random",0.180000,0.220000,0.160000,0.060000,7,0,1,13.707029,60,20,10,70.828105,17.207029
"random",0.180000,0.088000,0.120000,0.060000,9,0,1,17.216849,50,10,0,98.453144,17.216849
"habit",0.180000,0.132000,0.080000,0.060000,7,0,1,13.721742,70,30,10,69.367632,17.221742
"habit",0.180000,0.220000,0,0.060000,7,0,1,10.231500,70,20,20,50.783372,17.231500
"habit",0.180000,0.132000,0,0.060000,7,0.800000,1,10.244562,80,40,20,50.771265,17.244562
"random",0.180000,0.132000,0,0.060000,7,0,1,10.249599,80,10,20,50.755145,17.249599
