mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,runaway,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"habit",0.300000,0.400000,0.200000,0.180000,2,0,1,0,11.539232,90,30,10,51.414253,15.039232
"habit",0,0.400000,0.080000,0.180000,12,0.800000,1,0,15.042359,30,30,0,5.780068524141123e+72,15.042359
"random",0.300000,0.300000,0,0.180000,14,0,1,0,11.547132,40,30,10,56.986509,15.047132
"habit",0,0.400000,0.040000,0.180000,12,0.600000,1,0,11.550439,0,20,10,1.4903040813240583e+41,15.050439
"habit",0.100000,0,0,0.180000,2,0.200000,1,0,11.552516,80,40,10,54.055515,15.052516
"random",0.200000,0.100000,0.120000,0.180000,2,0,1,0,11.558067,90,30,10,52.048921,15.058067
"random",0.300000,0.400000,0.160000,0.180000,2,0,1,0,11.562889,90,10,10,51.427658,15.062889
"random",0.200000,0.100000,0.160000,0.180000,2,0,1,0,11.563198,90,10,10,52.051977,15.063198
"habit",0,0.500000,0.040000,0.180000,9,0.600000,1,0,11.573843,10,10,10,7.486825838903421e+28,15.073843
"habit",0.200000,0.200000,0.080000,0.180000,2,0,1,0,11.577404,90,10,10,52.039465,15.077404
"habit",0.200000,0,0.120000,0.180000,2,1,1,0,11.588835,90,10,10,52.058940,15.088835
"habit",0.200000,0.100000,0.160000,0.180000,2,0.200000,1,0,11.629420,80,30,10,52.066333,15.129420
"habit",0.100000,0.500000,0.080000,0.180000,2,0.400000,1,0,11.639964,90,10,10,53.850239,15.139964
"habit",0.100000,0.200000,0.160000,0.180000,2,0.200000,1,0,11.663286,90,30,10,54.057991,15.163286
"habit",0.500000,0.300000,0,0.180000,14,0.200000,1,0,11.672792,50,50,10,54.504794,15.172792
"random",0.100000,0.500000,0.120000,0.180000,2,0,1,0,11.676740,80,30,10,54.004734,15.176740
"random",0.400000,0.400000,0,0.180000,14,0,1,0,11.699614,70,30,10,55.383051,15.199614
"random",0.200000,0.200000,0.160000,0.180000,2,0,1,0,11.703001,90,30,10,52.052591,15.203001
"habit",0.200000,0.500000,0,0.180000,14,0,1,0,11.709701,60,10,10,60.615916,15.209701
"random",0.100000,0.200000,0.200000,0.180000,2,0,1,0,11.724752,80,40,10,54.049913,15.224752
"habit",0.400000,0.300000,0,0.180000,14,0,1,0,11.728543,40,30,10,55.358762,15.228543
"habit",0,0.500000,0.040000,0.180000,7,0.400000,1,0,11.736466,40,20,10,3.352642347917929e+21,15.236466
"habit",0.100000,0.300000,0.040000,0.180000,14,0.800000,1,0,11.752557,10,30,10,45701987.564479,15.252557
"habit",0.300000,0.500000,0.080000,0.180000,9,0.200000,1,0,15.255694,50,20,0,91.905998,15.255694
"habit",0.100000,0.400000,0.040000,0.180000,12,0.800000,1,0,11.798110,10,50,10,486.581501,15.298110
"habit",0.100000,0.400000,0.080000,0.180000,14,0,1,0,15.336802,40,30,0,6.552966791216157e+36,15.336802
"habit",0.100000,0.500000,0.200000,0.180000,2,1,1,0,11.858151,80,30,10,54.030938,15.358151
"random",0.200000,0.400000,0.040000,0.180000,14,0,1,0,11.860497,0,20,10,117.116225,15.360497
"habit",0.100000,0.500000,0.040000,0.180000,14,0,1,0,11.875573,0,10,10,3418118.411713,15.375573
"habit",0.100000,0,0.120000,0.180000,2,0.800000,1,0,11.876015,80,20,10,54.107250,15.376015
"random",0.100000,0,0.120000,0.180000,2,0,1,0,11.899125,80,60,10,54.093195,15.399125
"random",0.300000,0.200000,0.040000,0.180000,7,0,1,0,15.514204,40,10,0,87.897455,15.514204
"random",0.200000,0.300000,0.040000,0.180000,14,0,1,0,12.038364,0,20,10,115.986852,15.538364
"random",0.100000,0.200000,0,0.180000,14,0,1,0,12.042206,60,30,10,75.023768,15.542206
"habit",0.300000,0.500000,0.040000,0.180000,12,0.200000,1,0,12.117117,0,0,10,75.063015,15.617117
"habit",0.400000,0.400000,0.040000,0.180000,9,0,1,0,12.122838,20,10,10,61.572810,15.622838
"random",0.100000,0.500000,0.040000,0.180000,9,0,1,0,12.129958,20,20,10,132.553487,15.629958
"random",0.200000,0.300000,0.040000,0.180000,12,0,1,0,12.131452,10,20,10,94.017489,15.631452
"random",0.100000,0.200000,0.040000,0.180000,14,0,1,0,12.168502,10,10,10,197248548001.745331,15.668502
"habit",0.200000,0.400000,0.040000,0.180000,7,0.600000,1,0,12.213591,40,10,10,67.048368,15.713591
"random",0.100000,0.100000,0,0.180000,14,0,1,0,12.236375,90,30,10,74.829838,15.736375
"random",0.100000,0.400000,0.200000,0.180000,2,0,1,0,12.255513,100,50,10,54.051863,15.755513
"random",0.500000,0.400000,0.040000,0.180000,9,0,1,0,12.273015,10,30,10,59.239046,15.773015
"random",0.200000,0.400000,0.040000,0.180000,9,0,1,0,12.346037,20,10,10,75.408152,15.846037
"habit",0.100000,0.300000,0.040000,0.180000,9,0.400000,1,0,12.357146,10,20,10,145.902326,15.857146
"habit",0.200000,0.400000,0.040000,0.180000,9,0.800000,1,0,12.362279,30,40,10,75.533913,15.862279
"random",0.500000,0.300000,0.040000,0.180000,14,0,1,0,12.366202,0,20,10,68.744086,15.866202
"random",0.300000,0.300000,0.040000,0.180000,12,0,1,0,12.377138,10,30,10,74.207946,15.877138
"habit",0,0.200000,0.040000,0.180000,14,0.400000,1,0,12.436223,40,40,10,9.967162803423333e+54,15.936223
"habit",0.200000,0.400000,0.040000,0.180000,12,1,1,0,12.445923,10,20,10,96.793836,15.945923
"habit",0.300000,0.500000,0.040000,0.180000,7,1,1,0,12.449115,30,20,10,60.525576,15.949115
"random",0.400000,0.500000,0.040000,0.180000,9,0,1,0,12.484700,20,20,10,61.397750,15.984700
"random",0.400000,0.500000,0.040000,0.180000,12,0,1,0,12.570023,0,30,10,68.339077,16.070023
"random",0.400000,0.300000,0.040000,0.180000,14,0,1,0,12.648991,0,30,10,73.694714,16.148991
"random",0.300000,0.400000,0.200000,0.180000,7,0,1,0,16.206538,30,20,0,92.755399,16.206538
"random",0.500000,0.200000,0.040000,0.180000,14,0,1,0,12.747839,0,20,10,69.175585,16.247839
"habit",0.100000,0.500000,0.040000,0.180000,4,0.400000,1,0,12.778831,60,0,10,72.101772,16.278831
"random",0.500000,0.500000,0.040000,0.180000,12,0,1,0,12.788639,0,40,10,64.478835,16.288639
"habit",0.400000,0.300000,0.040000,0.180000,14,0.200000,1,0,12.792481,20,30,10,72.866067,16.292481
"random",0.400000,0.400000,0.040000,0.180000,9,0,1,0,12.796888,20,30,10,61.884582,16.296888
"habit",0.200000,0.400000,0.120000,0.180000,4,0.800000,1,0,12.868225,60,20,10,63.414779,16.368225
