groupSize,tiredness,forgetfulness,intensity,propensity,repeats,runaway,totalPower,log10TotalPower,top5SharePct,top10Stability20Pct,topBottomRatio,log10TopBottomRatio,oligarchyScore
2,0,0.200000,0.146000,0.600000,1,0,51.686321,1.713376,11.653088,10,1.204607,0.080845,16.123232
2,0,0.200000,0.146000,0.800000,1,0,51.644175,1.713021,11.126197,0,1.149202,0.060396,11.850952
2,0,0.200000,0.146000,1,1,0,51.653162,1.713097,11.100942,10,1.146795,0.059486,15.314771
2,0,0.200000,0.180000,0,1,0,52.027369,1.716232,11.313926,20,1.177266,0.070874,19.164420
2,0,0.200000,0.180000,0.200000,1,0,52.075638,1.716635,11.877344,10,1.237039,0.092383,16.485946
2,0,0.200000,0.180000,0.400000,1,0,52.022779,1.716194,11.201230,20,1.165438,0.066489,18.999101
2,0,0.200000,0.180000,0.600000,1,0,52.010151,1.716088,11.143822,30,1.159168,0.064146,22.413577
2,0,0.200000,0.180000,0.800000,1,0,52.049314,1.716415,11.419437,20,1.188748,0.075090,19.320513
2,0,0.200000,0.180000,1,1,0,52.079234,1.716665,11.771497,10,1.226101,0.088526,16.333811
2,0,0.300000,0.010000,0,1,0,50.077349,1.699641,10.094746,40,1.011036,0.004767,24.151947
2,0,0.300000,0.010000,0.200000,1,0,50.077203,1.699640,10.066592,20,1.008214,0.003553,17.109223
2,0,0.300000,0.010000,0.400000,1,0,50.077242,1.699640,10.078268,20,1.009384,0.004056,17.126944
2,0,0.300000,0.010000,0.600000,1,0,50.077215,1.699640,10.069556,20,1.008511,0.003680,17.113721
2,0,0.300000,0.010000,0.800000,1,0,50.077207,1.699640,10.071242,30,1.008679,0.003753,20.616279
2,0,0.300000,0.010000,1,1,0,50.077235,1.699640,10.076173,20,1.009174,0.003966,17.123765
2,0,0.300000,0.044000,0,1,0,50.340406,1.701917,10.298212,0,1.036832,0.015709,10.486715
2,0,0.300000,0.044000,0.200000,1,0,50.341056,1.701922,10.334996,10,1.040549,0.017263,14.042147
2,0,0.300000,0.044000,0.400000,1,0,50.341082,1.701923,10.316418,0,1.038679,0.016481,10.514196
2,0,0.300000,0.044000,0.600000,1,0,50.340401,1.701917,10.291738,30,1.036180,0.015435,20.976962
2,0,0.300000,0.044000,0.800000,1,0,50.340562,1.701918,10.296255,10,1.036639,0.015627,13.983783
2,0,0.300000,0.044000,1,1,0,50.342146,1.701932,10.368146,10,1.043909,0.018663,14.092100
2,0,0.300000,0.078000,0,1,0,50.609034,1.704228,10.615529,10,1.074483,0.031200,14.489926
2,0,0.300000,0.078000,0.200000,1,0,50.605623,1.704199,10.532221,30,1.065979,0.027749,21.365206
2,0,0.300000,0.078000,0.400000,1,0,50.605327,1.704196,10.520912,40,1.064828,0.027280,24.848267
2,0,0.300000,0.078000,0.600000,1,0,50.606558,1.704207,10.551154,20,1.067915,0.028537,17.893595
2,0,0.300000,0.078000,0.800000,1,0,50.607062,1.704211,10.549419,10,1.067750,0.028470,14.391054
2,0,0.300000,0.078000,1,1,0,50.604280,1.704187,10.532591,10,1.065988,0.027752,14.365620
2,0,0.300000,0.112000,0,1,0,50.871546,1.706475,10.719271,20,1.090612,0.037670,18.171313
2,0,0.300000,0.112000,0.200000,1,0,50.887129,1.706608,10.920889,0,1.111465,0.045896,11.471640
2,0,0.300000,0.112000,0.400000,1,0,50.871740,1.706477,10.775194,10,1.096306,0.039932,14.754375
2,0,0.300000,0.112000,0.600000,1,0,50.891574,1.706646,11.066856,20,1.126419,0.051700,18.687257
2,0,0.300000,0.112000,0.800000,1,0,50.876003,1.706513,10.875528,20,1.106607,0.043993,18.403449
2,0,0.300000,0.112000,1,1,0,50.879622,1.706544,10.909494,10,1.110142,0.045378,14.954035
2,0,0.300000,0.146000,0,1,0,51.143868,1.708794,11.105316,10,1.135938,0.055354,15.269570
2,0,0.300000,0.146000,0.200000,1,0,51.133830,1.708708,10.956838,30,1.120530,0.049424,22.049921
2,0,0.300000,0.146000,0.400000,1,0,51.138510,1.708748,11.011380,20,1.126211,0.051620,18.630818
2,0,0.300000,0.146000,0.600000,1,0,51.150960,1.708854,11.139982,30,1.139642,0.056768,22.321202
2,0,0.300000,0.146000,0.800000,1,0,51.141884,1.708777,10.965602,0,1.121603,0.049839,11.563673
2,0,0.300000,0.146000,1,1,0,51.145627,1.708809,11.184455,30,1.144072,0.058453,22.385896
2,0,0.300000,0.180000,0,1,0,51.421243,1.711143,11.416060,20,1.174056,0.069689,19.252325
2,0,0.300000,0.180000,0.200000,1,0,51.403431,1.710992,11.223511,30,1.153854,0.062151,22.469322
2,0,0.300000,0.180000,0.400000,1,0,51.398373,1.710949,11.167146,10,1.147946,0.059922,15.386205
2,0,0.300000,0.180000,0.600000,1,0,51.427432,1.711195,11.395552,40,1.172088,0.068960,26.223074
2,0,0.300000,0.180000,0.800000,1,0,51.404521,1.711001,11.208501,20,1.152335,0.061579,18.947447
2,0,0.300000,0.180000,1,1,0,51.472011,1.711571,11.920744,0,1.227169,0.088904,12.987597
2,0,0.400000,0.010000,0,1,0,50.060689,1.699497,10.065656,40,1.007787,0.003369,24.106083
2,0,0.400000,0.010000,0.200000,1,0,50.060674,1.699497,10.063759,20,1.007597,0.003287,17.103202
2,0,0.400000,0.010000,0.400000,1,0,50.060669,1.699497,10.064097,40,1.007631,0.003301,24.103715
2,0,0.400000,0.010000,0.600000,1,0,50.060741,1.699497,10.075105,30,1.008734,0.003777,20.620428
2,0,0.400000,0.010000,0.800000,1,0,50.060710,1.699497,10.066436,30,1.007866,0.003403,20.607269
2,0,0.400000,0.010000,1,1,0,50.060679,1.699497,10.064255,30,1.007647,0.003308,20.603956
2,0,0.400000,0.044000,0,1,0,50.267975,1.701291,10.310916,10,1.036618,0.015619,13.998340
2,0,0.400000,0.044000,0.200000,1,0,50.267949,1.701291,10.305083,10,1.036031,0.015373,13.989556
2,0,0.400000,0.044000,0.400000,1,0,50.267777,1.701290,10.284475,20,1.033955,0.014502,17.458497
2,0,0.400000,0.044000,0.600000,1,0,50.267437,1.701287,10.291410,10,1.034646,0.014792,13.968909
2,0,0.400000,0.044000,0.800000,1,0,50.267449,1.701287,10.293758,30,1.034882,0.014891,20.972448
2,0,0.400000,0.044000,1,1,0,50.267521,1.701287,10.287833,20,1.034288,0.014641,17.463529
2,0,0.400000,0.078000,0,1,0,50.477118,1.703095,10.585723,10,1.068674,0.028845,14.431865
2,0,0.400000,0.078000,0.200000,1,0,50.481476,1.703132,10.662189,50,1.076486,0.032008,28.546290
2,0,0.400000,0.078000,0.400000,1,0,50.475912,1.703084,10.546485,0,1.064687,0.027222,10.873148
2,0,0.400000,0.078000,0.600000,1,0,50.476131,1.703086,10.559978,10,1.066054,0.027779,14.393327
2,0,0.400000,0.078000,0.800000,1,0,50.474229,1.703070,10.511673,10,1.061137,0.025772,14.320931
2,0,0.400000,0.078000,1,1,0,50.475669,1.703082,10.541783,30,1.064207,0.027026,21.366097
2,0,0.400000,0.112000,0,1,0,50.686904,1.704896,10.822488,20,1.097117,0.040253,18.305522
2,0,0.400000,0.112000,0.200000,1,0,50.682183,1.704855,10.734100,0,1.088055,0.036651,11.173911
2,0,0.400000,0.112000,0.400000,1,0,50.682584,1.704859,10.749653,20,1.089640,0.037283,18.197051
2,0,0.400000,0.112000,0.600000,1,0,50.690181,1.704924,10.830656,40,1.098016,0.040609,25.317960
2,0,0.400000,0.112000,0.800000,1,0,50.683804,1.704869,10.712683,20,1.085919,0.035797,18.142253
2,0,0.400000,0.112000,1,1,0,50.689838,1.704921,10.815694,20,1.096492,0.040005,18.295758
2,0,0.400000,0.146000,0,1,0,50.901675,1.706732,11.076140,20,1.127588,0.052151,18.701947
2,0,0.400000,0.146000,0.200000,1,0,50.894861,1.706674,11.030607,0,1.122802,0.050303,11.634248
2,0,0.400000,0.146000,0.400000,1,0,50.897715,1.706698,10.990514,20,1.118784,0.048746,18.575469
2,0,0.400000,0.146000,0.600000,1,0,50.921258,1.706899,11.221936,40,1.142870,0.057997,25.917898
2,0,0.400000,0.146000,0.800000,1,0,50.896277,1.706686,10.999719,10,1.119689,0.049098,15.088890
2,0,0.400000,0.146000,1,1,0,50.896835,1.706691,11.042794,30,1.124086,0.050800,22.152390
2,0,0.400000,0.180000,0,1,0,51.114762,1.708546,11.309072,10,1.156121,0.063003,15.565112
2,0,0.400000,0.180000,0.200000,1,0,51.105142,1.708465,11.171367,40,1.141829,0.057601,25.862579
2,0,0.400000,0.180000,0.400000,1,0,51.107586,1.708485,11.301532,10,1.155188,0.062653,15.553364
2,0,0.400000,0.180000,0.600000,1,0,51.101866,1.708437,11.141955,20,1.138749,0.056428,18.819093
2,0,0.400000,0.180000,0.800000,1,0,51.102884,1.708445,11.201723,20,1.144881,0.058760,18.906846
2,0,0.400000,0.180000,1,1,0,51.111097,1.708515,11.165857,0,1.141398,0.057437,11.855104
2,0,0.500000,0.010000,0,1,0,50.050884,1.699412,10.069151,30,1.007940,0.003435,20.610366
2,0,0.500000,0.010000,0.200000,1,0,50.050866,1.699412,10.067696,40,1.007794,0.003372,24.108156
2,0,0.500000,0.010000,0.400000,1,0,50.050909,1.699412,10.076034,30,1.008629,0.003732,20.620814
2,0,0.500000,0.010000,0.600000,1,0,50.050873,1.699412,10.068730,20,1.007897,0.003416,17.109727
2,0,0.500000,0.010000,0.800000,1,0,50.050937,1.699412,10.073409,10,1.008367,0.003619,13.616833
2,0,0.500000,0.010000,1,1,0,50.050876,1.699412,10.065906,40,1.007615,0.003295,24.105441
2,0,0.500000,0.044000,0,1,0,50.223856,1.700910,10.275598,20,1.032160,0.013747,17.440563
2,0,0.500000,0.044000,0.200000,1,0,50.224101,1.700912,10.273463,20,1.031951,0.013659,17.437371
2,0,0.500000,0.044000,0.400000,1,0,50.224007,1.700911,10.270332,30,1.031634,0.013526,20.932642
2,0,0.500000,0.044000,0.600000,1,0,50.224497,1.700916,10.297853,20,1.034409,0.014692,17.474161
2,0,0.500000,0.044000,0.800000,1,0,50.224897,1.700919,10.322579,20,1.036901,0.015737,17.511426
2,0,0.500000,0.044000,1,1,0,50.225105,1.700921,10.311032,20,1.035745,0.015253,17.494069
2,0,0.500000,0.078000,0,1,0,50.398965,1.702422,10.536519,30,1.062059,0.026149,21.350304
2,0,0.500000,0.078000,0.200000,1,0,50.402696,1.702454,10.554576,0,1.063958,0.026925,10.877671
2,0,0.500000,0.078000,0.400000,1,0,50.399503,1.702426,10.550145,20,1.063444,0.026715,17.870722
2,0,0.500000,0.078000,0.600000,1,0,50.397073,1.702405,10.479075,30,1.056229,0.023758,21.264174
2,0,0.500000,0.078000,0.800000,1,0,50.396949,1.702404,10.483032,20,1.056626,0.023921,17.770085
2,0,0.500000,0.078000,1,1,0,50.398328,1.702416,10.512740,20,1.059649,0.025162,17.814684
2,0,0.500000,0.112000,0,1,0,50.570255,1.703895,10.681226,0,1.080305,0.033546,11.083781
2,0,0.500000,0.112000,0.200000,1,0,50.573246,1.703921,10.718360,10,1.084125,0.035079,14.639310
2,0,0.500000,0.112000,0.400000,1,0,50.569887,1.703892,10.689531,20,1.081137,0.033881,18.096099
2,0,0.500000,0.112000,0.600000,1,0,50.572787,1.703917,10.737211,10,1.086021,0.035838,14.667271
2,0,0.500000,0.112000,0.800000,1,0,50.577495,1.703957,10.777151,40,1.090163,0.037491,25.227047
2,0,0.500000,0.112000,1,1,0,50.571273,1.703904,10.690083,20,1.081222,0.033915,18.097062
2,0,0.500000,0.146000,0,1,0,50.745157,1.705395,10.911120,30,1.107373,0.044294,21.942647
2,0,0.500000,0.146000,0.200000,1,0,50.747325,1.705413,10.928816,30,1.109216,0.045016,21.969011
2,0,0.500000,0.146000,0.400000,1,0,50.745275,1.705396,10.911368,0,1.107401,0.044305,11.443025
2,0,0.500000,0.146000,0.600000,1,0,50.757542,1.705501,11.020519,50,1.118749,0.048733,29.105310
2,0,0.500000,0.146000,0.800000,1,0,50.745699,1.705399,10.907651,20,1.107033,0.044160,18.437576
2,0,0.500000,0.146000,1,1,0,50.756054,1.705488,11.013823,30,1.118036,0.048456,22.095294
2,0,0.500000,0.180000,0,1,0,50.917255,1.706865,11.106716,0,1.131047,0.053481,11.748484
2,0,0.500000,0.180000,0.200000,1,0,50.921439,1.706901,11.142582,20,1.134793,0.054916,18.801579
2,0,0.500000,0.180000,0.400000,1,0,50.919430,1.706884,11.117994,20,1.132244,0.053940,18.765274
2,0,0.500000,0.180000,0.600000,1,0,50.917907,1.706871,11.087465,40,1.129101,0.052733,25.720258
2,0,0.500000,0.180000,0.800000,1,0,50.917503,1.706867,11.107125,30,1.131094,0.053499,22.249110
2,0,0.500000,0.180000,1,1,0,50.923616,1.706919,11.127015,10,1.133256,0.054328,15.278950
2,0.100000,0,0.010000,0,1,0,52.035181,1.716297,10.368799,60,1.072606,0.030440,31.734082
2,0.100000,0,0.010000,0.200000,1,0,52.038195,1.716322,10.370581,90,1.072852,0.030540,42.237061
2,0.100000,0,0.010000,0.400000,1,0,52.032234,1.716272,10.348470,60,1.065844,0.027694,31.680793
2,0.100000,0,0.010000,0.600000,1,0,52.037066,1.716313,10.369018,80,1.070475,0.029576,38.723934
2,0.100000,0,0.010000,0.800000,1,0,52.035955,1.716304,10.350673,60,1.068514,0.028780,31.696037
2,0.100000,0,0.010000,1,1,0,52.036320,1.716307,10.351719,70,1.070798,0.029707,35.208208
2,0.100000,0,0.044000,0,1,0,59.623212,1.775415,11.515514,70,1.312297,0.118032,37.431901
2,0.100000,0,0.044000,0.200000,1,0,59.566283,1.775001,11.293481,60,1.287720,0.109821,33.611337
2,0.100000,0,0.044000,0.400000,1,0,59.570466,1.775031,11.386648,70,1.298456,0.113427,37.247775
2,0.100000,0,0.044000,0.600000,1,0,59.651704,1.775623,11.864311,70,1.366204,0.135515,37.990496
2,0.100000,0,0.044000,0.800000,1,0,59.704152,1.776005,11.992970,80,1.406175,0.148039,41.769441
2,0.100000,0,0.044000,1,1,0,59.569777,1.775026,11.413369,80,1.268222,0.103195,40.651713
2,0.100000,0,0.078000,0,1,0,68.288713,1.834349,12.247632,50,1.563006,0.193961,32.075160
2,0.100000,0,0.078000,0.200000,1,0,68.306449,1.834462,12.264349,80,1.550432,0.190453,42.549783
2,0.100000,0,0.078000,0.400000,1,0,68.209657,1.833846,12.158662,70,1.524997,0.183269,38.857891
2,0.100000,0,0.078000,0.600000,1,0,68.242918,1.834058,12.458748,80,1.612090,0.207389,42.947420
2,0.100000,0,0.078000,0.800000,1,0,68.034321,1.832728,12.062699,60,1.481125,0.170592,35.109799
2,0.100000,0,0.078000,1,1,0,68.156590,1.833508,12.571277,70,1.563539,0.194109,39.400582
2,0.100000,0,0.112000,0,1,0,78.298652,1.893754,13.599575,70,1.899436,0.278625,41.443070
2,0.100000,0,0.112000,0.200000,1,0,78.262004,1.893551,13.184528,60,1.875045,0.273012,37.460669
2,0.100000,0,0.112000,0.400000,1,0,78.720371,1.896087,14.289178,90,1.959964,0.292248,49.296154
2,0.100000,0,0.112000,0.600000,1,0,77.653956,1.890164,13.039872,70,1.689104,0.227656,40.271749
2,0.100000,0,0.112000,0.800000,1,0,78.093559,1.892615,13.471414,60,1.906308,0.280193,37.833731
2,0.100000,0,0.112000,1,1,0,78.119873,1.892762,13.700037,80,1.827867,0.261945,44.843371
2,0.100000,0,0.146000,0,1,0,88.958428,1.949187,13.422716,60,1.942794,0.288427,37.883838
2,0.100000,0,0.146000,0.200000,1,0,89.599523,1.952306,14.028624,60,2.277309,0.357422,39.317688
2,0.100000,0,0.146000,0.400000,1,0,90.377141,1.956059,14.828936,60,2.520859,0.401549,40.647519
2,0.100000,0,0.146000,0.600000,1,0,88.683338,1.947842,13.280429,50,1.941006,0.288027,34.236752
2,0.100000,0,0.146000,0.800000,1,0,89.676596,1.952679,14.194191,80,2.244010,0.351025,46.406488
2,0.100000,0,0.146000,1,1,0,90.513644,1.956714,15.071099,60,2.344538,0.370057,40.511786
2,0.100000,0,0.180000,0,1,0,103.242627,2.013859,16.848575,70,2.654218,0.423937,46.435814
2,0.100000,0,0.180000,0.200000,1,0,102.951729,2.012634,15.457116,70,2.556094,0.407577,44.848038
2,0.100000,0,0.180000,0.400000,1,0,103.797346,2.016186,15.067121,80,2.917775,0.465052,48.647742
2,0.100000,0,0.180000,0.600000,1,0,102.903358,2.012430,15.495379,40,2.453546,0.389794,34.172909
2,0.100000,0,0.180000,0.800000,1,0,102.852081,2.012213,15.024625,80,2.455561,0.390151,47.706434
2,0.100000,0,0.180000,1,1,0,103.633991,2.015502,15.518568,80,2.795792,0.446505,48.876625
2,0.100000,0.100000,0.010000,0,1,0,50.210794,1.700797,10.102020,30,1.014385,0.006203,20.676454
2,0.100000,0.100000,0.010000,0.200000,1,0,50.210796,1.700797,10.090875,0,1.013326,0.005749,10.159865
